5YGX-BACE_01-10.sd BACE_7 -6.74418
5YGX-BACE_01-11.sd BACE_7 -2.68766
5YGX-BACE_01-12.sd BACE_8 -4.01346
5YGX-BACE_01-13.sd BACE_8 -1.68768
5YGX-BACE_01-14.sd BACE_9 -4.09933
5YGX-BACE_01-15.sd BACE_9 -0.218899
5YGX-BACE_01-16.sd BACE_10 -4.08542
5YGX-BACE_01-17.sd BACE_10 -1.10455
5YGX-BACE_01-18.sd BACE_11 -4.97701
5YGX-BACE_01-1.sd BACE_1 -4.71042
5YGX-BACE_01-2.sd BACE_4 -3.75413
5YGX-BACE_01-3.sd BACE_4 -4.45366
5YGX-BACE_01-4.sd BACE_5 -5.40885
5YGX-BACE_01-5.sd BACE_5 -6.06025
5YGX-BACE_01-6.sd BACE_5 -2.95151
5YGX-BACE_01-7.sd BACE_5 -5.06639
5YGX-BACE_01-8.sd BACE_6 -4.95684
5YGX-BACE_01-9.sd BACE_6 -0.575959
5YGX-BACE_02-10.sd BACE_16 -5.74411
5YGX-BACE_02-11.sd BACE_16 -2.82716
5YGX-BACE_02-12.sd BACE_19 -3.92036
5YGX-BACE_02-13.sd BACE_20 -5.53372
5YGX-BACE_02-14.sd BACE_21 -6.43675
5YGX-BACE_02-15.sd BACE_21 -1.91574
5YGX-BACE_02-16.sd BACE_22 -5.6393
5YGX-BACE_02-17.sd BACE_22 -1.92244
5YGX-BACE_02-18.sd BACE_23 -3.34202
5YGX-BACE_02-1.sd BACE_11 -3.13508
5YGX-BACE_02-2.sd BACE_12 -6.41052
5YGX-BACE_02-3.sd BACE_12 1.70455
5YGX-BACE_02-4.sd BACE_13 -6.17577
5YGX-BACE_02-5.sd BACE_13 -3.81372
5YGX-BACE_02-6.sd BACE_14 -3.08991
5YGX-BACE_02-7.sd BACE_14 -5.13205
5YGX-BACE_02-8.sd BACE_15 -6.8464
5YGX-BACE_02-9.sd BACE_15 -3.1099
5YGX-BACE_03-10.sd BACE_27 -3.68062
5YGX-BACE_03-11.sd BACE_28 -4.22273
