BACE_7 -6.74418
BACE_8 -4.01346
BACE_9 -4.09933
BACE_10 -4.08542
BACE_11 -4.97701
BACE_1 -4.71042
BACE_4 -4.45366
BACE_5 -6.06025
BACE_6 -4.95684
BACE_16 -5.74411
BACE_19 -3.92036
BACE_20 -5.53372
BACE_21 -6.43675
BACE_22 -5.6393
BACE_23 -3.34202
BACE_11 -3.13508
BACE_12 -6.41052
BACE_13 -6.17577
BACE_14 -5.13205
BACE_15 -6.8464
BACE_27 -3.68062
BACE_28 -4.22273
BACE_29 -4.93915
BACE_30 -4.61487
BACE_31 -4.89933
BACE_23 -2.20733
BACE_24 -4.32254
BACE_25 -4.7288
BACE_26 -4.18815
BACE_27 -3.29719
BACE_36 -1.50689
BACE_37 -4.88697
BACE_38 -2.93879
BACE_39 -5.44401
BACE_40 -6.08046
BACE_32 -5.37607
BACE_33 -5.23368
BACE_34 -5.1098
BACE_35 -4.34714
BACE_36 -5.28822
BACE_44 -2.36647
BACE_45 -7.30507
BACE_46 -3.94975
BACE_47 -5.05207
BACE_48 -4.033
BACE_41 -6.78193
BACE_42 -5.8873
BACE_43 -3.04903
BACE_44 -5.78544
BACE_52 -4.35189
BACE_53 -5.5381
BACE_54 -4.55936
BACE_55 -6.02101
BACE_48 -3.06928
BACE_49 -3.8996
BACE_50 -4.39084
BACE_51 -3.32859
BACE_52 -2.46173
BACE_59 -3.2246
BACE_60 -3.99174
BACE_61 -4.7867
BACE_61 -2.93717
BACE_62 -5.66791
BACE_56 -2.66149
BACE_57 -3.48282
BACE_58 -6.65437
BACE_59 -2.88364
BACE_67 -3.33068
BACE_68 -4.54715
BACE_69 -6.22529
BACE_70 -5.01806
BACE_63 -5.95879
BACE_64 -5.92963
BACE_65 -5.63543
BACE_65 -2.00104
BACE_66 -4.82136
BACE_66 -2.88788
BACE_67 -4.32725
BACE_75 -6.37677
BACE_76 -4.62765
BACE_76 -1.91115
BACE_77 -3.14869
BACE_77 -4.84347
BACE_78 -2.58763
BACE_78 -3.83638
BACE_79 -4.50444
BACE_71 -3.47591
BACE_71 -1.70909
BACE_72 -5.44643
BACE_72 -2.31932
BACE_73 -5.02719
BACE_73 -2.55969
BACE_74 -3.51847
BACE_74 -0.132694
BACE_75 -3.71508
BACE_83 -3.33601
BACE_83 -3.99321
BACE_84 -4.92036
BACE_84 -3.10923
BACE_85 -4.32546
BACE_85 -2.89997
BACE_86 -5.47162
BACE_86 -0.843681
BACE_79 -3.7929
BACE_80 -6.32485
BACE_80 -2.07432
BACE_81 -1.95047
BACE_81 -4.83871
BACE_81 -3.66152
BACE_82 -6.63049
BACE_82 -2.26369
BACE_83 -3.22427
BACE_91 -0.74583
BACE_92 -4.62235
BACE_92 -2.4602
BACE_93 -5.70836
BACE_93 -2.56985
BACE_94 -4.66457
BACE_94 -2.24023
BACE_95 -2.63894
BACE_87 -2.51825
BACE_87 -2.90531
BACE_88 -5.25592
BACE_88 -3.9126
BACE_89 -6.12737
BACE_89 -1.44274
BACE_90 -3.68314
BACE_90 -4.72323
BACE_91 -4.56055
BACE_99 -5.77002
BACE_99 -1.9008
BACE_100 -7.24097
BACE_100 -0.823403
BACE_101 -5.7588
BACE_101 -3.28324
BACE_102 -3.39995
BACE_102 -3.12012
BACE_95 -4.86181
BACE_96 -5.65934
BACE_96 -2.67868
BACE_97 -6.36294
BACE_97 -2.65402
